"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","0.3770","0.3772","0.3772","0.3770","0.00%"
"Dec 30, 2019","0.3770","0.3769","0.3770","0.3769","0.00%"
"Dec 28, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 27, 2019","0.3770","0.3772","0.3772","0.3770","0.00%"
"Dec 26, 2019","0.3770","0.3770","0.3770","0.3769","0.00%"
"Dec 25, 2019","0.3770","0.3770","0.3770","0.3769","0.00%"
"Dec 24, 2019","0.3770","0.3770","0.3772","0.3770","0.00%"
"Dec 23, 2019","0.3770","0.3772","0.3772","0.3770","0.00%"
"Dec 21, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 20, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 19, 2019","0.3770","0.3771","0.3773","0.3770","0.00%"
"Dec 18, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 17, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 16, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 14, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 13, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 12, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 11, 2019","0.3770","0.3770","0.3771","0.3770","0.00%"
"Dec 10, 2019","0.3770","0.3770","0.3771","0.3770","0.00%"
"Dec 09, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 07, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 06, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 05, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 04, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 03, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Dec 02, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 30, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 29, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 28, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 27, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 26, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 25, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 23, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 22, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 21, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 20, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 19, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 18, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 16, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
"Nov 15, 2019","0.3770","0.3770","0.3770","0.3770","0.00%"
