Date,Handle,Total Posts,Favorites,Retweets
5/12/2016,realDonaldTrump,2,10815,37687
5/13/2016,realDonaldTrump,3,16864,48241
5/14/2016,realDonaldTrump,3,26758,75414
5/15/2016,realDonaldTrump,14,52213,158889
5/16/2016,realDonaldTrump,14,59599,167960
5/17/2016,realDonaldTrump,18,76717,223761
5/18/2016,realDonaldTrump,45,94916,329047
5/19/2016,realDonaldTrump,5,26333,82123
5/20/2016,realDonaldTrump,15,57088,165770
5/21/2016,realDonaldTrump,10,68413,183805
5/22/2016,realDonaldTrump,10,92889,207405
5/23/2016,realDonaldTrump,4,18308,52446
5/24/2016,realDonaldTrump,10,44854,127808
5/25/2016,realDonaldTrump,18,62653,201276
5/26/2016,realDonaldTrump,8,35531,111305
5/27/2016,realDonaldTrump,5,19348,62945
5/28/2016,realDonaldTrump,11,59356,181049
5/29/2016,realDonaldTrump,6,35568,109601
5/30/2016,realDonaldTrump,13,47022,161047
5/31/2016,realDonaldTrump,9,37229,126040
6/1/2016,realDonaldTrump,3,18263,54683
6/2/2016,realDonaldTrump,21,76377,235746
6/3/2016,realDonaldTrump,18,56129,170309
6/4/2016,realDonaldTrump,8,54009,132480
6/5/2016,realDonaldTrump,3,21073,59423
6/6/2016,realDonaldTrump,9,46902,132625
6/7/2016,realDonaldTrump,4,20105,55494
6/8/2016,realDonaldTrump,17,51096,163859
6/9/2016,realDonaldTrump,13,213576,486924
6/10/2016,realDonaldTrump,14,86077,210211
6/11/2016,realDonaldTrump,11,60136,188607
6/12/2016,realDonaldTrump,8,133967,362065
6/13/2016,realDonaldTrump,11,66101,187293
6/14/2016,realDonaldTrump,6,73021,176978
6/15/2016,realDonaldTrump,8,40470,126989
6/16/2016,realDonaldTrump,6,20743,58185
6/17/2016,realDonaldTrump,11,46144,143756
6/18/2016,realDonaldTrump,5,15929,54113
6/19/2016,realDonaldTrump,6,34697,102376
6/20/2016,realDonaldTrump,2,11028,42539
6/21/2016,realDonaldTrump,12,101251,251228
6/22/2016,realDonaldTrump,5,38273,97387
6/23/2016,realDonaldTrump,16,78070,208733
6/24/2016,realDonaldTrump,14,90393,262232
6/25/2016,realDonaldTrump,5,21194,71168
6/26/2016,realDonaldTrump,17,88136,266592
6/27/2016,realDonaldTrump,6,37604,111828
6/28/2016,realDonaldTrump,11,52167,152014
6/29/2016,realDonaldTrump,9,36529,115978
6/30/2016,realDonaldTrump,11,48992,141340
7/1/2016,realDonaldTrump,10,49716,136765
7/2/2016,realDonaldTrump,13,81038,219975
7/3/2016,realDonaldTrump,8,52133,152427
7/4/2016,realDonaldTrump,13,79243,236087
7/5/2016,realDonaldTrump,5,70510,170207
7/6/2016,realDonaldTrump,16,92640,272551
7/7/2016,realDonaldTrump,6,42685,126522
7/8/2016,realDonaldTrump,6,74320,230937
7/9/2016,realDonaldTrump,2,11986,40256
7/10/2016,realDonaldTrump,4,41587,129380
7/11/2016,realDonaldTrump,4,20635,62695
7/12/2016,realDonaldTrump,14,120621,292991
7/13/2016,realDonaldTrump,15,83986,261133
7/14/2016,realDonaldTrump,6,64055,180784
7/15/2016,realDonaldTrump,4,62137,176512
7/16/2016,realDonaldTrump,7,44538,153576
7/17/2016,realDonaldTrump,17,119463,374498
7/18/2016,realDonaldTrump,5,26215,91902
7/19/2016,realDonaldTrump,7,69363,244104
7/20/2016,realDonaldTrump,8,132673,363400
7/21/2016,realDonaldTrump,17,115395,421529
7/22/2016,realDonaldTrump,7,49344,191281
7/23/2016,realDonaldTrump,16,133267,374658
7/24/2016,realDonaldTrump,18,143549,453027
7/25/2016,realDonaldTrump,18,144775,457985
7/26/2016,realDonaldTrump,15,148678,473022
7/27/2016,realDonaldTrump,19,198226,600775
7/28/2016,realDonaldTrump,14,127381,358272
