"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2019","13,012.50","12,970.00","13,060.00","12,882.50","-","0.37%"
"Apr 11, 2019","12,965.00","13,195.00","13,212.50","12,872.50","-","-1.67%"
"Apr 10, 2019","13,185.00","13,240.00","13,302.50","13,150.00","-","-0.36%"
"Apr 09, 2019","13,232.50","13,215.00","13,315.00","13,092.50","-","0.25%"
"Apr 08, 2019","13,200.00","13,082.50","13,322.50","13,082.50","-","1.09%"
"Apr 05, 2019","13,057.50","13,167.50","13,277.50","13,042.50","-","-0.82%"
"Apr 04, 2019","13,165.00","13,365.00","13,395.00","12,997.50","-","-1.46%"
"Apr 03, 2019","13,360.00","13,145.00","13,427.50","13,145.00","-","1.50%"
"Apr 02, 2019","13,162.50","13,122.50","13,195.00","12,952.50","-","0.44%"
"Apr 01, 2019","13,105.00","13,015.00","13,330.00","13,015.00","-","0.85%"
"Mar 29, 2019","12,995.00","12,880.00","13,167.50","12,877.50","-","0.93%"
"Mar 28, 2019","12,875.00","13,045.00","13,047.50","12,827.50","-","-1.36%"
"Mar 27, 2019","13,052.50","13,112.50","13,147.50","12,880.00","-","-0.38%"
"Mar 26, 2019","13,102.50","12,962.50","13,152.50","12,845.00","-","1.12%"
"Mar 25, 2019","12,957.50","12,967.50","12,992.50","12,842.50","-","-0.13%"
"Mar 22, 2019","12,975.00","13,032.50","13,072.50","12,907.50","-","-0.40%"
"Mar 21, 2019","13,027.50","13,342.50","13,370.00","12,905.00","-","-2.34%"
"Mar 20, 2019","13,340.00","13,150.00","13,365.00","13,107.50","-","1.43%"
"Mar 19, 2019","13,152.50","13,015.00","13,292.50","13,015.00","-","1.08%"
"Mar 18, 2019","13,012.50","12,875.00","13,062.50","12,855.00","-","0.62%"
"Mar 15, 2019","12,932.50","12,902.50","13,042.50","12,842.50","-","0.19%"
"Mar 14, 2019","12,907.50","13,185.00","13,195.00","12,812.50","-","-2.12%"
"Mar 13, 2019","13,187.50","13,132.50","13,232.50","12,915.00","-","0.50%"
"Mar 12, 2019","13,122.50","12,927.50","13,257.50","12,922.50","-","1.63%"
"Mar 11, 2019","12,912.50","13,077.50","13,175.00","12,882.50","-","-1.30%"
"Mar 08, 2019","13,082.50","13,202.50","13,232.50","13,060.00","-","-1.04%"
"Mar 07, 2019","13,220.00","13,640.00","13,672.50","13,115.00","-","-3.06%"
"Mar 06, 2019","13,637.50","13,642.50","13,757.50","13,565.00","-","-0.07%"
"Mar 05, 2019","13,647.50","13,292.50","13,722.50","13,265.00","-","2.77%"
"Mar 04, 2019","13,280.00","13,217.50","13,467.50","13,172.50","-","0.82%"
"Mar 01, 2019","13,172.50","13,057.50","13,382.50","12,997.50","-","0.86%"
"Feb 28, 2019","13,060.00","13,062.50","13,157.50","13,022.50","-","-0.02%"
"Feb 27, 2019","13,062.50","12,942.50","13,112.50","12,847.50","-","0.97%"
"Feb 26, 2019","12,937.50","12,962.50","12,997.50","12,847.50","-","-0.23%"
"Feb 25, 2019","12,967.50","13,045.00","13,172.50","12,877.50","-","-0.15%"
"Feb 22, 2019","12,987.50","12,845.00","13,102.50","12,780.00","-","1.07%"
"Feb 21, 2019","12,850.00","12,897.50","12,942.50","12,777.50","-","-0.52%"
"Feb 20, 2019","12,917.50","12,660.00","12,952.50","12,625.00","-","2.01%"
"Feb 19, 2019","12,662.50","12,447.50","12,677.50","12,385.00","-","1.58%"
"Feb 18, 2019","12,465.00","12,405.00","12,527.50","12,292.50","-","0.42%"
"Feb 15, 2019","12,412.50","12,197.50","12,422.50","12,082.50","-","1.78%"
"Feb 14, 2019","12,195.00","12,402.50","12,472.50","12,147.50","-","-1.61%"
