Date,Handle,Total Posts,Favorites,Retweets
2016-07-17,GDNonline,45,13,11
2016-07-18,GDNonline,42,15,15
2016-07-19,GDNonline,35,4,19
2016-07-20,GDNonline,39,5,9
2016-07-21,GDNonline,40,9,13
2016-07-22,GDNonline,18,4,12
2016-07-23,GDNonline,19,6,7
2016-07-24,GDNonline,45,2,5
2016-07-25,GDNonline,43,3,4
2016-07-26,GDNonline,38,5,4
2016-07-27,GDNonline,32,4,9
2016-07-28,GDNonline,43,6,10
2016-07-29,GDNonline,17,5,10
2016-07-30,GDNonline,19,0,7
2016-07-31,GDNonline,37,6,10
2016-08-01,GDNonline,37,7,7
2016-08-02,GDNonline,39,16,7
2016-08-03,GDNonline,38,23,12
2016-08-04,GDNonline,40,9,10
2016-08-05,GDNonline,21,2,6
2016-08-06,GDNonline,25,13,22
2016-08-07,GDNonline,41,10,14
2016-08-08,GDNonline,40,7,10
2016-08-09,GDNonline,27,7,4
2016-08-10,GDNonline,48,4,5
2016-08-11,GDNonline,50,11,17
2016-08-12,GDNonline,24,2,8
2016-08-13,GDNonline,21,5,10
2016-08-14,GDNonline,53,18,13
2016-08-15,GDNonline,49,12,16
2016-08-16,GDNonline,37,6,8
2016-08-17,GDNonline,49,3,12
2016-08-18,GDNonline,34,2,8
2016-08-19,GDNonline,23,2,4
2016-08-20,GDNonline,21,4,9
2016-08-21,GDNonline,46,2,21
2016-08-22,GDNonline,40,3,8
2016-08-23,GDNonline,41,5,9
2016-08-24,GDNonline,41,5,7
2016-08-25,GDNonline,41,8,8
2016-08-26,GDNonline,20,0,3
2016-08-27,GDNonline,21,6,13
2016-08-28,GDNonline,35,7,30
2016-08-29,GDNonline,37,4,23
2016-08-30,GDNonline,39,8,23
2016-08-31,GDNonline,43,6,17
2016-09-01,GDNonline,43,1,11
2016-09-02,GDNonline,18,1,2
2016-09-03,GDNonline,22,2,4
2016-09-04,GDNonline,42,10,14
2016-09-05,GDNonline,31,2,4
2016-09-06,GDNonline,40,4,4
2016-09-07,GDNonline,32,5,10
2016-09-08,GDNonline,32,2,8
2016-09-09,GDNonline,22,5,4
2016-09-10,GDNonline,19,2,5
2016-09-11,GDNonline,17,4,6
2016-09-12,GDNonline,14,0,1
2016-09-13,GDNonline,11,1,3
2016-09-14,GDNonline,27,2,8
2016-09-15,GDNonline,23,3,5
2016-09-16,GDNonline,21,3,5
2016-09-17,GDNonline,20,5,6
2016-09-18,GDNonline,30,3,6
2016-09-19,GDNonline,15,6,10
2016-09-20,GDNonline,17,1,5
2016-09-21,GDNonline,20,3,3
2016-09-22,GDNonline,21,4,3
2016-09-23,GDNonline,21,4,7
2016-09-24,GDNonline,17,1,10
2016-09-25,GDNonline,17,1,5
2016-09-26,GDNonline,32,5,14
2016-09-27,GDNonline,25,3,9
2016-09-28,GDNonline,19,3,4
2016-09-29,GDNonline,26,7,18
2016-09-30,GDNonline,18,5,2
2016-10-01,GDNonline,18,0,1
2016-10-02,GDNonline,19,3,8
2016-10-03,GDNonline,39,4,7
2016-10-04,GDNonline,38,8,10
2016-10-05,GDNonline,37,4,10
2016-10-06,GDNonline,48,2,19
2016-10-07,GDNonline,31,1,8
2016-10-08,GDNonline,23,0,3
2016-10-09,GDNonline,37,9,6
2016-10-10,GDNonline,36,2,12
2016-10-11,GDNonline,20,6,10
2016-10-12,GDNonline,20,1,8
2016-10-13,GDNonline,35,7,5
2016-10-14,GDNonline,19,2,3
2016-10-15,GDNonline,20,0,5
2016-10-17,GDNonline,2,0,1
2016-10-18,GDNonline,11,1,1
2016-10-19,GDNonline,17,5,7
2016-10-20,GDNonline,28,0,10
2016-10-21,GDNonline,17,5,6
2016-10-22,GDNonline,11,3,2
2016-10-23,GDNonline,31,4,14
2016-10-24,GDNonline,32,7,8
2016-10-25,GDNonline,32,3,6
2016-10-26,GDNonline,35,8,10
2016-10-27,GDNonline,36,25,33
2016-10-28,GDNonline,14,1,4
2016-10-29,GDNonline,11,1,2
2016-10-30,GDNonline,31,4,3
2016-10-31,GDNonline,33,0,6
2016-11-01,GDNonline,31,1,6
2016-11-02,GDNonline,29,4,10
2016-11-03,GDNonline,21,1,3
2016-11-04,GDNonline,10,0,3
2016-11-05,GDNonline,8,67,28
2016-11-06,GDNonline,31,8,8
2016-11-07,GDNonline,34,6,19
2016-11-08,GDNonline,44,7,15
2016-11-09,GDNonline,49,6,28
2016-11-10,GDNonline,27,5,9
2016-11-11,GDNonline,2,4,9
2016-11-12,GDNonline,3,1,0
2016-11-13,GDNonline,34,4,10
2016-11-14,GDNonline,31,8,12
2016-11-15,GDNonline,38,4,13
2016-11-16,GDNonline,34,12,13
2016-11-17,GDNonline,36,7,17
2016-11-18,GDNonline,12,2,5
2016-11-19,GDNonline,6,1,8
2016-11-20,GDNonline,26,6,5
2016-11-21,GDNonline,30,9,12
2016-11-22,GDNonline,27,3,12
2016-11-23,GDNonline,31,3,14
2016-11-24,GDNonline,35,4,14
2016-11-25,GDNonline,6,1,1
2016-11-26,GDNonline,2,2,2
2016-11-27,GDNonline,30,6,16
2016-11-28,GDNonline,14,5,1
2016-11-29,GDNonline,16,6,15
2016-11-30,GDNonline,22,2,12
2016-12-01,GDNonline,34,3,5
2016-12-02,GDNonline,2,0,2
2016-12-03,GDNonline,3,0,2
2016-12-04,GDNonline,35,3,12
2016-12-05,GDNonline,29,6,7
2016-12-06,GDNonline,20,8,16
2016-12-07,GDNonline,37,6,14
2016-12-08,GDNonline,22,5,7
2016-12-09,GDNonline,12,6,2
2016-12-10,GDNonline,10,0,6
2016-12-11,GDNonline,1,1,1
2016-12-12,GDNonline,30,2,4
2016-12-13,GDNonline,36,4,14
2016-12-14,GDNonline,31,7,13
2016-12-15,GDNonline,30,3,9
2016-12-16,GDNonline,12,1,2
2016-12-17,GDNonline,8,3,11
2016-12-18,GDNonline,11,3,4
2016-12-19,GDNonline,6,0,2
2016-12-20,GDNonline,27,5,12
2016-12-21,GDNonline,31,3,13
2016-12-22,GDNonline,26,1,12
2016-12-23,GDNonline,6,0,1
2016-12-24,GDNonline,6,1,2
2016-12-25,GDNonline,34,6,15
2016-12-26,GDNonline,28,2,5
2016-12-27,GDNonline,26,1,8
2016-12-28,GDNonline,13,1,2
2016-12-29,GDNonline,27,0,7
2016-12-30,GDNonline,8,5,6
2016-12-31,GDNonline,7,0,3
2017-01-01,GDNonline,5,1,2
2017-01-02,GDNonline,23,1,3
2017-01-03,GDNonline,28,2,4
2017-01-04,GDNonline,28,1,6
2017-01-05,GDNonline,23,3,4
2017-01-06,GDNonline,7,0,1
2017-01-07,GDNonline,8,0,1
2017-01-08,GDNonline,29,3,7
2017-01-09,GDNonline,18,4,4
2017-01-10,GDNonline,27,7,5
2017-01-11,GDNonline,29,11,13
2017-01-12,GDNonline,27,5,11
2017-01-13,GDNonline,6,0,3
2017-01-14,GDNonline,8,1,2
2017-01-15,GDNonline,31,3,11
2017-01-16,GDNonline,32,3,3
2017-01-17,GDNonline,26,12,8
2017-01-18,GDNonline,22,0,3
2017-01-19,GDNonline,23,3,4
2017-01-20,GDNonline,14,2,3
2017-01-21,GDNonline,14,3,4
2017-01-22,GDNonline,12,3,3
2017-01-23,GDNonline,22,1,2
2017-01-24,GDNonline,16,0,2
2017-01-25,GDNonline,17,24,32
2017-01-26,GDNonline,17,0,2
2017-01-27,GDNonline,11,3,2
2017-01-28,GDNonline,9,0,3
2017-01-29,GDNonline,15,5,6
2017-01-30,GDNonline,15,3,6
2017-01-31,GDNonline,18,1,1
2017-02-01,GDNonline,11,0,6
2017-02-02,GDNonline,13,1,10
2017-02-03,GDNonline,10,0,1
2017-02-04,GDNonline,10,9,6
2017-02-05,GDNonline,29,3,20
2017-02-06,GDNonline,31,7,15
2017-02-07,GDNonline,22,3,13
2017-02-08,GDNonline,24,4,7
2017-02-09,GDNonline,26,20,4
2017-02-10,GDNonline,7,1,2
2017-02-11,GDNonline,7,3,3
2017-02-12,GDNonline,31,0,10
2017-02-13,GDNonline,24,5,10
2017-02-14,GDNonline,30,7,11
2017-02-15,GDNonline,28,4,18
2017-02-16,GDNonline,28,3,9
2017-02-17,GDNonline,6,4,4
2017-02-18,GDNonline,7,0,2
2017-02-19,GDNonline,27,7,13
2017-02-20,GDNonline,26,1,12
2017-02-21,GDNonline,28,3,18
2017-02-22,GDNonline,30,0,14
2017-02-23,GDNonline,31,0,12
2017-02-24,GDNonline,3,0,2
2017-02-25,GDNonline,7,0,2
2017-02-26,GDNonline,22,1,4
2017-02-27,GDNonline,33,1,14
2017-02-28,GDNonline,25,0,9
2017-03-01,GDNonline,25,2,8
2017-03-02,GDNonline,24,2,7
2017-03-03,GDNonline,4,0,1
2017-03-04,GDNonline,5,0,1
2017-03-05,GDNonline,29,6,12
2017-03-06,GDNonline,29,1,8
2017-03-07,GDNonline,23,0,13
2017-03-08,GDNonline,20,2,12
2017-03-09,GDNonline,27,0,7
2017-03-10,GDNonline,7,1,2
2017-03-11,GDNonline,6,0,1
2017-03-12,GDNonline,29,3,7
