"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10006,10056,
10011,10011,
10011,10661,
10033,10299,
10033,14709,
10042,10056,
10047,10056,
10056,10006,
10056,10017,
10056,10042,
10056,10047,
10056,10061,
10056,11299,
10056,11513,
10056,12705,
10056,12705,
10056,12743,
10056,12771,
10056,12771,
10056,12785,
10056,12854,
10056,12869,
10056,12869,
10056,14855,
10056,15091,
10056,15091,
10056,15446,
10056,15836,
10061,10170,
10089,10056,
10135,14730,
10135,10194,
10135,11193,
10135,14107,
10135,14512,
10135,14747,
10135,15304,
10135,13930,
10135,10397,
10135,13930,
10135,11057,
10135,11433,
10135,14100,
10135,11193,
10135,12892,
10135,14307,
10135,10397,
10135,10693,
10135,11697,
10135,13577,
10135,14082,
10135,14112,
10135,14685,
10135,14761,
10136,13495,
10136,11298,
10136,10590,
10136,10136,
10136,11413,
10136,11695,
10136,12094,
10136,10747,
10136,12007,
10139,13970,
10139,10640,
10139,12268,
10139,13806,
10139,13806,
10139,13942,
10139,13970,
10139,13970,
10139,14804,
10139,14804,
10139,15785,
10139,15861,
10139,13806,
10139,13942,
10139,13970,
10139,14485,
10139,14804,
10139,14804,
10139,15785,
10139,15861,
10140,11085,
10140,10800,
10140,11298,
10140,11540,
10140,13891,
10140,14107,
10140,14730,
10140,10800,
10140,12478,
10140,13930,
10140,13301,
10140,11292,
10140,14747,
10140,14057,
10140,11278,
10140,11292,
10140,12266,
10140,13930,
10140,14771,
10140,10257,
10140,10279,
10140,10397,
10140,10423,
10140,10693,
10140,10713,
10140,10792,
10140,10800,
10140,10821,
10140,10994,
10140,11042,
10140,11066,
10140,11193,
10140,11259,
10140,11278,
10140,11292,
10140,11697,
10140,11884,
10140,12191,
10140,12278,
10140,12339,
10140,12391,
10140,12889,
10140,12892,
10140,13198,
10140,13204,
10140,13232,
10140,13487,
10140,13495,
10140,13796,
10140,13851,
10140,13871,
10140,13891,
10140,13931,
10140,14057,
10140,14107,
10140,14122,
10140,14321,
10140,14492,
10140,14570,
10140,14635,
10140,14679,
10140,14683,
10140,14730,
10140,14747,
10140,14771,
10140,14831,
10140,14843,
10140,14869,
10140,14893,
10140,14908,
10140,15016,
10140,15304,
10140,15370,
10140,15376,
10140,13930,
10140,11292,
10140,12266,
10140,12892,
10140,13930,
10140,14057,
10140,14107,
10140,14679,
10140,14771,
10140,14869,
10140,11298,
10140,12266,
10140,14107,
10140,14570,
10140,12266,
10140,11109,
10140,10590,
10140,15051,
10140,11618,
10140,12339,
10140,12896,
10140,13244,
10140,12266,
10140,14288,
10140,11298,
10140,13930,
10140,14107,
10140,12892,
10140,14869,
10140,10397,
10140,13487,
10140,11413,
10140,11711,
10140,12018,
10140,12266,
10140,10423,
10140,10713,
10140,12889,
10140,14570,
10141,13487,
10141,10590,
10141,13487,
10141,11624,
10146,12451,
10146,13303,
10146,13495,
10146,14027,
10146,14193,
10146,14730,
10146,10397,
10154,10721,
10154,11615,
10154,12197,
10154,12250,
10154,12250,
10154,12478,
10154,13541,
10154,11615,
10154,12197,
10154,12197,
10154,13398,
10154,15167,
10154,12250,
10154,10154,
10155,11726,
10155,13851,
10155,11298,
10155,12266,
10155,13577,
10155,15024,
10157,11292,
10157,12892,
10157,14771,
10157,10333,
10157,11468,
10157,12492,
10157,12899,
10157,13034,
10158,11618,
10158,10397,
10158,11697,
10158,13204,
10158,13577,
10158,14027,
10158,14635,
10158,15304,
10158,10158,
10158,10721,
10158,10792,
10158,10874,
10158,10933,
10158,10980,
10158,11042,
10158,11057,
10158,11066,
10158,11641,
10158,11995,
10158,12898,
10158,13303,
10158,13342,
10158,13484,
10158,13577,
10158,14027,
10158,14092,
10158,14100,
10158,14122,
10158,14492,
10158,14524,
10158,14574,
10158,14730,
10158,14761,
10158,15323,
10165,10299,
10165,10299,
10170,10299,
10170,10299,
10170,11587,
10170,10299,
10170,10917,
10170,11445,
10170,10299,
10170,10299,
10170,10170,
10170,10243,
10170,10243,
10170,12721,
10170,12721,
10170,12772,
10170,12772,
10170,12866,
10170,12866,
10170,13863,
10170,13863,
10170,13934,
10170,13934,
10170,14855,
10171,15618,
10171,11049,
10171,13851,
10184,10247,
10184,10783,
10184,11630,
10184,11630,
10184,11630,
10184,12214,
10184,12235,
10184,15061,
10184,11630,
10184,14709,
10185,12266,
10185,10397,
10185,11298,
10185,10466,
10185,10747,
10185,11150,
10185,11259,
10185,11540,
10185,11986,
10185,12266,
10185,12339,
10185,13230,
10185,13244,
10185,13303,
10185,13487,
10185,14259,
10185,14691,
10185,15919,
10185,12266,
10185,11391,
10194,10135,
10194,12324,
10194,14747,
10194,14893,
10194,12889,
10194,14747,
10194,10982,
10194,11540,
10194,10299,
10194,10561,
10194,10627,
10194,11315,
10194,11695,
10194,11697,
10194,11884,
10194,11921,
10194,12441,
10194,12917,
10194,13244,
10194,13796,
10194,13931,
10194,14100,
10194,14113,
10194,14633,
10194,14689,
10194,14730,
10194,15041,
10194,15601,
10194,12278,
10194,12896,
10194,13158,
10194,15370,
10194,14814,
10204,12523,
10204,15231,
10208,13461,
10208,10397,
10208,11298,
10208,11057,
10208,11973,
10208,11057,
10208,10158,
10208,10397,
10216,11049,
10216,11049,
10216,13244,
10216,12451,
10216,13277,
10221,11292,
10225,10775,
10225,10247,
10225,10396,
10225,10396,
10225,10754,
10225,10754,
10225,11630,
10225,13767,
10225,13873,
10225,14125,
10225,14125,
10225,14709,
10237,11445,
10241,12719,
10241,12719,
10241,10304,
10241,10551,
10241,10551,
10241,12709,
10241,12709,
10241,12719,
10241,15257,
10241,15257,
10241,10551,
10241,12709,
10241,12709,
10241,12719,
10241,12851,
10241,12855,
10241,12855,
10241,14130,
10241,15257,
10243,10299,
10243,10170,
10243,10170,
10245,10299,
10245,11336,
10245,12321,
10245,11053,
10245,11336,
10245,11511,
10245,12294,
10245,12635,
10245,12638,
10245,12641,
10245,12720,
10245,12784,
10245,14119,
10245,14273,
10245,15448,
10245,15853,
10245,10299,
10245,10245,
10245,10299,
10245,10299,
10245,11445,
10245,11445,
10245,10299,
10245,11336,
10245,10299,
10247,10184,
10247,10783,
10247,11630,
10247,11630,
10247,10775,
10247,11630,
10247,10225,
10247,10754,
10247,13767,
10247,14709,
10257,10529,
10257,14100,
10257,14307,
10257,14730,
10257,15096,
10257,11697,
10257,13204,
10257,10785,
10257,10994,
10257,11193,
10257,11278,
10257,11618,
10257,12264,
10257,12339,
10257,12397,
10257,15096,
10257,12264,
10257,13930,
10257,11292,
10257,13204,
10257,14492,
10257,14635,
10257,12197,
10257,11433,
10257,13930,
10257,12889,
10257,13930,
10257,14771,
10257,10397,
10257,10693,
10257,10800,
10257,10821,
10257,11057,
10257,11066,
10257,11193,
10257,11259,
10257,11292,
10257,11433,
10257,11697,
10257,11996,
10257,12191,
10257,12889,
10257,12892,
10257,13198,
10257,13204,
10257,13232,
10257,13244,
10257,13487,
10257,13495,
10257,13796,
10257,14027,
10257,14107,
10257,14321,
10257,14492,
10257,14771,
10257,14831,
10257,14869,
10257,14908,
10257,15016,
10257,15304,
10257,15376,
10257,13930,
10257,11057,
10257,11278,
10257,11433,
10257,13487,
10257,13930,
10257,12264,
10257,13930,
10257,11278,
10257,14100,
10257,10141,
10257,10581,
10257,11122,
10257,12339,
10257,13244,
10257,14150,
10257,15249,
10257,10158,
10257,10257,
10257,11618,
10257,11057,
10257,10397,
10257,11433,
10257,13930,
10257,14082,
10257,14112,
10257,14685,
10257,14761,
10268,13931,
10268,13930,
10268,14679,
10272,11292,
10275,14747,
10278,10056,
10278,10056,
10279,11292,
10279,10423,
10279,10693,
10279,11259,
10279,11292,
10279,11884,
10279,12191,
10279,12889,
10279,12892,
10279,12992,
10279,13232,
10279,13244,
10279,13495,
10279,13796,
10279,14107,
10279,14570,
10279,14683,
10279,14831,
10279,14908,
10279,15016,
10279,15304,
10279,15376,
10279,11298,
10279,11298,
10279,10590,
10279,11298,
10279,12266,
10298,14730,
10299,13891,
10299,14730,
10299,10299,
10299,10994,
10299,11193,
10299,11298,
10299,12217,
10299,12478,
10299,12892,
10299,13303,
10299,13930,
10299,14716,
10299,14730,
10299,10170,
10299,10170,
10299,10243,
10299,10299,
10299,10299,
10299,14107,
10299,11193,
10299,12478,
10299,13303,
10299,10245,
10299,10304,
10299,10551,
10299,10551,
10299,10754,
10299,10754,
10299,11336,
10299,13196,
10299,13196,
10299,13873,
10299,13970,
10299,14485,
10299,14709,
10299,15478,
10299,11445,
10299,12321,
10299,12321,
10299,12321,
10299,12653,
10299,12748,
10299,12748,
10299,12841,
10299,13196,
10299,12478,
10299,13930,
10299,12264,
10299,10194,
10299,13232,
10299,11193,
10299,12478,
10299,12892,
10299,13930,
10299,13930,
10299,16668,
10299,10551,
10299,10754,
10299,11550,
10299,12268,
10299,12807,
10299,13873,
10299,13970,
10299,14125,
10299,14485,
10299,14709,
10299,15861,
10299,10299,
10299,11193,
10299,12892,
10299,13930,
10299,11845,
10299,13873,
10299,14856,
10299,10165,
10299,10165,
10299,10170,
10299,10170,
10299,10299,
10299,10299,
10299,10551,
10299,10551,
10299,10754,
10299,10754,
10299,10926,
10299,10926,
10299,11630,
10299,12173,
10299,12523,
10299,12523,
10299,12758,
10299,12819,
10299,12819,
10299,12892,
10299,13830,
10299,13873,
10299,13873,
10299,13930,
10299,13970,
10299,13970,
10299,14057,
10299,14107,
10299,14256,
10299,14485,
10299,14709,
10299,14709,
10299,14709,
10299,14747,
10299,14747,
10299,14828,
10299,14828,
10299,15841,
10299,15991,
10299,15991,
10299,11292,
10299,10299,
10299,16390,
10299,11555,
10299,10299,
10299,11298,
10299,13700,
10299,13930,
10299,10245,
10299,10304,
10299,10551,
10299,11336,
10299,11550,
10299,11630,
10299,12321,
10299,12807,
10299,13873,
