,User,Location,DTG,Message
0,Redsoul267,Philadelphia,2020-10-28 00:37:29,@djLizzyliz @PPDCommish Seems like you have a problem with yet another police fuck up. Protests bring changes #BLM #RIP #MentalHealthAwareness
1,lucjayyy,"Chesapeake, VA",2020-10-28 00:37:25,"Walter Wallace Jr. 

SAY HIS NAME !✊🏽🖤 #BLM #ACAB"
2,RethinkTANK_JL,"Philadelphia, PA",2020-10-28 00:37:19,Didn’t know a hurricane was forecast in Philadelphia. #blm #useyourwords #oranightstick https://t.co/jiMMkMjDbm
3,MARCO51482083,Boulevardier of the World ,2020-10-28 00:36:26,Nice guy worth lots of damage and pain just like his predecessors. #blm @Blklivesmatter https://t.co/3mfo40EvEN
4,AmandaVeach420,CA,2020-10-28 00:36:17,I voted for Biden today to get rid of orange bunker bitch in the white house. Orange is sus VOTE him out.#BidenHarris2020 #BernieSanders #VoteBlue #BLM
5,NonconformistM3,,2020-10-28 00:36:06,"A documentary regarding the shootout &amp; aerial bombing of MOVE headquarters in 1985 which resulted in 11 deaths &amp; over 60 homes being burned. #Philadelphia #Philly #phillyprotests #phillyprotest #Police #PoliceBrutality #BLM #AntiFascist #Pennsylvania 
https://t.co/XGh7mhJi2J"
6,azld3dems,"Tucson, AZ",2020-10-28 00:34:15,"Beautiful.

#BLM https://t.co/MSgFjqYufp"
7,MrAndyNgo,,2020-10-28 00:33:58,"Walter Wallace Jr., the Philly man who pursued police w/a knife before being shot, was a rapper. The convicted felon was awaiting trial for threatening to shoot a woman &amp; her house up. In 2017, he pled guilty to putting a gun to another woman’s head. #BLM https://t.co/flL5BBDmR0"
8,narrative_shift,,2020-10-28 00:33:57,Understand... we will not stop until We Have the RIGHT to LIVE!!! Philadelphia is just one city... and it should be the LAST!! #thenarrativeshift #1mindatatime #protection #BLM @BrandonUpson @AttorneyCrump @morethanavote @KingJames @kerrywashington @BarackObama @MichelleObama https://t.co/b3eprqYGTK
9,MarkMcC57046578,"He's here, he's there...",2020-10-28 00:33:57,"@opinionscount22 @IsabelOakeshott @jin_london @soniasodha @SkyNews @AnnaJonesSky Yeah, because the right want to listen to Marcus Rashford or #BLM FFS.

Whilst all the Covid-iots who don't care about a million plus deaths, mask avoiders and 'free speech' advocates really embrace alternative opinions...
🤐"
10,Victori49518592,,2020-10-28 00:33:42,Speakers Corner 01/11/2020 #Flowers4Hatun #FreedomOfSpeech #BLM #BlackAn... https://t.co/VzSpW5HZU7 via @YouTube
11,moisoffthedome, she don't want me ,2020-10-28 00:33:08,"@FrMrBruh Nah I’m calling in the Avengers💯🤝

#feminist #feminism #feminists #activism #activist #equal #blm #blacklivesmatter  #loveislove #lgbt 
#equalrights #empoweringwomen #empower #pride #intersectionalfeminism #intersectional #equality #genderequality #politics #activism"
12,tbasharks,,2020-10-28 00:32:09,"Sat May 30 2020 Madison, Wisconsin - Police pepper spray protesters with hands up WATCH: https://t.co/1Om47HyOwj #MadisonWisconsin #MPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
13,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 00:32:00,"Putting Down the Rioters (The Breonna Taylor Protests 9)
https://t.co/5pf7hjlkYJ

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/sQyQpuc289"
14,Erik_Goins,"Indiana, USA",2020-10-28 00:31:52,She said what she said! #Blm https://t.co/5d2d4ARKsG
15,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 00:31:40,"Up in Smoke (The Breonna Taylor Protests 10)
https://t.co/AXFA3HUkoU

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/HgSvXvqXfI"
16,mekakinny,"Arlington, TX",2020-10-28 00:31:30,"Fit the description... #BLM 

https://t.co/XygW0OMYiz"
17,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 00:31:28,"Times Up (The Breonna Taylor Protests 11)
https://t.co/Sh1rl5qUFy

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/VOcQwknS8i"
