,User,Location,DTG,Message
0,X_RIS3N_X,IN YOUR H3AD,2020-10-28 01:38:07,"@MrAndyNgo We can all agree, #BLM is a #JOKE I said it and not taking it back."
1,GreatestGMTedT,Somewhere in Texas,2020-10-28 01:37:59,@treasure_mn7 @DailyCaller No they are BLM cause #BLM is a farce
2,Kimmyrosempls,"Mpls, MN",2020-10-28 01:37:51,"Just going to leave this here... 💙💙💙 @ohhappydani 
#vote #loveoneanother #decency #equality #buildbackbetter #blm✊🏾 #bidenharris2020 https://t.co/PFSNYZ0ZdJ"
3,AsIfUknow,"College Station, Texas, USA",2020-10-28 01:37:46,Say his name - yet again! #BLM https://t.co/B3uvGCGNd3
4,DavidNortherner,"New York, USA",2020-10-28 01:37:40,The #Blacks be lootin in #philly now #blm #BlackLivesMatter gotta get those sneakers at #footlocker #Philadelphiariots #Philadelphia learn to abide by #police commands to drop ya knife or gun and ya might live
5,WwiiiZoomer,,2020-10-28 01:37:29,@ColumbiaBugle #BLM is solidifying Trump's win for him.
6,ridethecliche,,2020-10-28 01:37:29,"@Walmart and other businesses are being looted right now in #Philly.  Can't wait until @realDonaldTrump wins PA and ultimately the country! :)

#BLM is beyond dumb!  Congrats, you've lost @JoeBiden and @KamalaHarris the election, morons.

#Trump2020 #MAGA 🇺🇲🇺🇲"
7,HankBraak,"Plant City, Florida",2020-10-28 01:36:42,#antifa and #BLM are wrecking all Democrat-run cities. https://t.co/VRpFhx6INP
8,Cami31993,"Philadelphia, PA",2020-10-28 01:36:30,"Prayers go out to the family and loved ones of Walter Wallace 🙏🏾

#SayHisName 
#ENDPOLICEBRUTALITY 
#BLM"
9,MikiPatterson,,2020-10-28 01:36:07,"Took the mailed ballots into county clerk’s office just to be sure!  #vote #blm #womenvotenotjustforhusbandstogobacktoworka$$ @ Waverly, Michigan https://t.co/KzpuOOy4pk"
10,schoolofstrife,Ghost Town ,2020-10-28 01:36:03,Cops waiting at Gold and Johnson. Helmets on and clubs at the ready.  Be careful protesters. #blm #protests #nycprotests #Brooklyn
11,TheMogs,United States,2020-10-28 01:35:48,"Pray for the City of Brotherly Love because there’s no love to be found.

#Philadelphia #Philadelphiariots #BrotherlyLove #BLM #AntifaTerrorists #BlueLivesMatter"
12,StevenC_in_NYC,NYC,2020-10-28 01:35:47,"https://t.co/QQsljRftvo
#WhiteSupremacy much?
#TrumpNazis
#BLM
#BidenHarris2020
#BlueWave2020"
13,JulieDuvall17,,2020-10-28 01:35:31,Are police tasers the 21st century version of the cattle prod?   #BLM
14,DenneyLeah,,2020-10-28 01:35:12,Just posted this pic on my insta story after feeling proud about voting. This guy replies:  “Gay” ...how’d he know I voted for gay rights?? 🏳️‍🌈 #BLM #vote https://t.co/yStIBCAXUE
15,paltrywriter,JetsBlueland,2020-10-28 01:35:09,"And these same reporters and writers were using #BLM only a few months ago, claiming to be allies. Now we know that for them black live only matter when they can exploit them and not when they have the power to protect them, which sadly is no surprise to anyone. https://t.co/wDIfiDGiu6"
16,BeUtifulSurpris,,2020-10-28 01:35:00,Wow #GeorgeFloyd and #COVID19 I thought I was gonna escape with #ThisIsUs apparently not. I’m tired. #BLM
17,ColinD89,"Seattle, WA",2020-10-28 01:34:42,"The same people that say 'Nobody cares' are the ones who don't want politics in sports because it turns out...people care.
#VOTE #WNBA #BLM 

https://t.co/B86i6259ky"
18,_AshleyLewis,"Washington, DC",2020-10-28 01:34:27,Thank God for the elders who said ‘Not Today’. #Survivors #Respect #BLM 👏🏽👏🏽👏🏽 https://t.co/XDYIkLRvFp
19,KCVeteran4thIVY,"Lee's Summit, MO",2020-10-28 01:34:11,"This will make up for #WalterWallce death...free TV's &amp; Electronics...
#BlackLivesMatter #BLM
#Philadelphiariots #KansasCity https://t.co/lBt7dmAiKF"
20,JMendolla,,2020-10-28 01:34:07,For 2 years I've asked @BellinHealth for answers regarding my dad's death-They refuse to talk; but TOOK our money right away. This is WRONG @AP @NPR @DHSW @GovEvers @WI_DSPS @TelemundoWI @UniNoticias @NAACP @mulaw @DemsEspanol @gbpressgazette @ABC @repmarkpocan @jimmykimmel #BLM https://t.co/pBu4P3Onrp
21,hillgafam,"St Louis, MO",2020-10-28 01:34:04,@Julio_Rosas11 @KatiePavlich @townhallcom Look!!! Free Stuff says #BLM and #antifa thugs.
22,imBillyClark,"Hudson, WI",2020-10-28 01:33:52,#WalterWallace #Philadelphia #Protests If you’re white in listen to hip hop but don’t support #BLM ur the worst kind of closet racist. BURN THAT SHIT DOWN! https://t.co/eTSZl0Ms1W
23,DJWRECK_MTL,"Montreal, Qc, Canada",2020-10-28 01:33:36,Once and for all !!! #philly #Philadelphiariots #BLM #WalterWallaceJr #FuckThePolce #FuckRacism https://t.co/XtCIV6Lou4
