,User,Location,DTG,Message
0,VyronJohnson,"Greenville,SC",2020-10-28 02:37:54,20K kills PS4 lets get it Rank Grind #VypSquad @CountSquad_ !Discord !YT #BLM https://t.co/GWzr8VhcC5
1,Letitia_Jen,Indiana,2020-10-28 02:37:50,"GIVE. 👏🏿 THIS. 👏🏿 MAN. 👏🏿 HIS. 👏🏿 EMMY. 👏🏿 ALREADY. 👏🏿

@SterlingKBrown and the scenes with @AsanteBlackk and @ChrissyMetz were superb. I knew it'd be good. I didn't expect that! 😭😭😭💔💔💔

#ThisIsUs #BLM ✊🏿🖤✊🏿
@NBCThisisUs"
2,qimover,"Rochester, NY",2020-10-28 02:37:49,"@SterlingKBrown SKB, knockin it outta the park. Man, that last scene...ALL the feels. Bringing #BLM, omg, I just cannot give enough cred to this show, to you, to @ChrissyMetz. And the pandemic! Whaatt?! ❤️🖐 @NBCThisisUs"
3,TeresaLCantrel2,"Toccoa, GA",2020-10-28 02:37:35,@Julio_Rosas11 @townhallcom Did Foot Locker shoot someone?#BLM
4,enamagma,Archipiélago de Puerto Rico,2020-10-28 02:37:29,"B R A V O ‼️ for #ThisIsUs  covering all current events, such as #COVID19 , #BLM movement. it’s a breath of fresh air with outstanding performances, especially the scene with Randall and Kate about “not wanting to say the wrong thing”. ✨⭐️⭐️⭐️⭐️⭐️✨"
5,SoGwennie,"Baltimore, MD",2020-10-28 02:37:23,"I am trying my best not to cry the way I have in the past. However, this premiere is a lot. Thank you @NBCThisisUs for breaking barriers and pushing limits to express what so many have for years. #BLM #ThisIsUs"
6,EMauraA,New York,2020-10-28 02:37:23,Best scene in the show! #BLM  #ThisIsUs https://t.co/RY1co54tOA
7,ugotGod,WAKANDA 🌍 ❤️🖤💚 OH-OFA,2020-10-28 02:37:07,⚡️#BreakingNews Y’all✨👸🏾🤴🏾✨💔🖤💚🌍#COVID19🦠#CoronaVirus🦠#STRIKE/#BOYCOTT If Forced to Work File #HazardPay #Lawsuit‼️#BlackFolk💯% #Demand $4000.00aMo Until A CURE💊OurCostOfLiving=$50PerHr #TheREVOLUTIONwillBeDIGITIZED #VOTE .@JoeBiden .@KamalaHarris #BidenHarris2020 #BLM✊🏿 https://t.co/t9Y4k4Bftj
8,Drewmasterflex,Montreal Quebec,2020-10-28 02:37:06,@aaronwall #blm Riots!🤣🤣 https://t.co/q0lf6H0PF6
9,therainbowtimes,"Boston, MA",2020-10-28 02:36:55,"#GodBlessAmerica Rendition by Nicole EnRose https://t.co/apr2iTrcsQ highlights #AdelineFagan, #BLM, First Responders. 

@Blklivesmatter @MassNOW @FenwayHealth @SFPride @ROCassataMusic @AmericasGotIt @TransPHL @KyleClark @JesseOSheaMD @NicolleDWallace #nicoleenrose #Election2020"
10,DennisHastert,"North Aurora, IL",2020-10-28 02:36:55,"Any guesses on the toxicology report?

#BLM
#MAGA
#Philadelphiariots https://t.co/TC2XiPs570"
11,dmc1109,"Carroll Gardens, Crooklyn, NY",2020-10-28 02:36:42,"But also, let the people protest and exercise their Constitutional rights. At least while they still exist. @NYPD your police state is why people are demanding your defunding and abolition. Your helicopter noise won't get us on your side. #stopkillingBlackpeople #BLM"
