,User,Location,DTG,Message
28,Thinks_well,Everywhere,2020-10-28 02:56:38,@Walmart #BLM Please send more donations. In the meantime....  just a few essentials. https://t.co/CkgLlevFUB
29,speaknowor4,#stillwithher ,2020-10-28 02:56:28,"@SecBernhardt @realDonaldTrump In 2019, Interior Dept disregarded 800,000+ public comments opposing its proposal to weaken implementation of the Endangered Species Act. New regs eliminate protections for threatened species, weaken bedrock consult requirements, risk politicizing ESA’s science. #VoteBlue #BLM"
30,CHE_YoTomoMate,"Malvinas Argentinas, Argentina",2020-10-28 02:56:26,"While #White #Antifa burns #USA cities ..

#BLM and #Blacks are looting the stores...

This is becoming #Zimbabwe and #SouthAfrica!...

Is this for real?... no #Police?

 @realDonaldTrump 

Where is #Law&amp;Order?! https://t.co/4Gus3YGTHV"
31,tresalupton,"Norman, OK–The Motherland",2020-10-28 02:56:12,"@ElijahSchaffer You were attacked by rando looters, not #BLM, you fool. You videoed people looting. What did you expect?"
32,NoWayLeftButUp,Vale of White Horse,2020-10-28 02:56:11,"Walmart is getting double looted by #BLM looters in #Philadelphia. 

#blacklivesmatter https://t.co/VARqzEhC3k"
33,TheRightMelissa,,2020-10-28 02:55:53,@realDonaldTrump #BLM rioters have been hard at work campaigning for Trump in Philly Pennsylvania this week.
34,obanner_jason,United States,2020-10-28 02:55:16,The time I got interviewed on @Local4News for my #BLM poem off @IAmSteveHarvey foundation #ripgeorgefloyd @Twitter @TwitterSupport https://t.co/kXhYysaE6i
35,askquestions112,"New york, ny",2020-10-28 02:54:56,They’re the racists https://t.co/QGyBsn8z9u #blm #walkaway #trumplandslide
36,chillin662,The Mississippi Delta,2020-10-28 02:54:46,"@LorenzoWard7DC @XIII_Mr_Undadog @DCPoliceDept @MayorBowser But hey... at least #BLM was painted in the streets. 

Symbolism versus actually doing something worthwhile to protect black #FBA people from this 

#StopKillinUs 

https://t.co/9mBLbuPdF0"
37,21FrankS,"On the beach, or on the ice",2020-10-28 02:54:37,"All of the uncontrolled Philadelphia rioting &amp; looting being allowed by PA Governor Wolf turns more votes to @realDonaldTrump .
Everyone knows #Antifa &amp; #BLM are Dem organizations. https://t.co/kzS3s6HRsS"
38,TheBrynnium,,2020-10-28 02:54:35,"Looting &amp; Protests In Philadelphia - Walter Wallace | Brynnium Explains
https://t.co/bPzVCg5zRq
_______
@BLMPhilly @Philly_RJ @PhillyPolice #racialjustice #blm #thataintjustice #looting #riots #violence #arrests https://t.co/PKhNu4kpQ0"
39,PJQbadgers,"Mequon, WI",2020-10-28 02:54:16,@n8hall512 @MrAndyNgo He deserves it #BLM
40,CAV124III,United States,2020-10-28 02:54:15,"@stillgray @JoeBiden your supports are advocating violence, shooting police. What do you have to say about this? Are you prepared to denounce #BLM now?"
